,date,site,notes,reliability
1,5/15/2015,117,"60F, overcast; circles 1-8 visual; beat sheets at 2 circles",3
2,5/19/2015,8892356,NA,3
3,5/21/2015,117,added circles 11-12; 1 frass trap wet and unusable implying there was rain?,2
4,5/22/2015,8892356,some frass traps knocked over; all are wet and possibly unusable,1
5,5/25/2015,8892356,no rain in the pass several days so frass traps are good,3
6,5/26/2015,117,circle 11 frass trap missing,3
7,5/28/2015,117,NA,3
8,5/29/2015,8892356,"many of the frass traps were very wet, hole in one trap",1
9,6/1/2015,117,no frass traps deployed due to impending storms,3
10,6/2/2015,8892356,"rain last night, frass traps wet, started raining during surveys so finished circle 1 and 2D in the afternoon; frass traps under lamps for 3 hrs",2
11,6/4/2015,117,leaves wet from last night's rain; no frass traps to collect; first day of repeat surveys in afternoon,3
12,6/5/2015,8892356,NA,3
13,6/8/2015,117,NA,3
14,6/9/2015,8892356,"rained last night, wet leaves; many frass traps blown out/unusable",1
15,6/11/2015,117,"frass blown out at 10E, at 1E filter paper folded over",2
16,6/12/2015,8892356,NA,3
17,6/15/2015,117,NA,3
18,6/16/2015,8892356,highs have been 95-100F for the past 4 days and forecast for next week,3
19,6/18/2015,117,"big thunderstorms last night; many frass traps busted, some folded over, all wet",1
20,6/19/2015,8892356,"major thunderstorm last night with hail; all frass and leaves wet, many frass traps busted",1
21,6/22/2015,117,"big thunderstorm last Thursday night blew out 4 frass traps; of the remaining, one very storm-battered",1
22,6/23/2015,8892356,NA,3
23,6/25/2015,117,Rain an hour before we arrived so leaves and frass traps wet; no new frass traps deployed,2
24,6/26/2015,8892356,"big thunderstorm last night, all frass busted; no new traps deployed",1
25,6/29/2015,117,"new frass traps deployed, none to collect",3
26,6/30/2015,8892356,tree fall alters location of 8B (and 8B frass trap),3
27,7/2/2015,117,all frass traps ok,3
28,7/3/2015,8892356,rain yesterday so frass traps damp but not wet,2
29,7/6/2015,117,"rain last night, leaves wet, frass wet but intact",2
30,7/7/2015,8892356,"frass trap 2B blown out, edges chewed up at 1B; no new frass traps deployed",2
31,7/9/2015,117,"storm last night, all frass traps wet, 10E folded over",2
32,7/13/2015,117,"AH out of town; undergrads; big storm early in morning, some traps disturbed, frass disintegrated",1
33,7/14/2015,8892356,AH out of town; undergrads,NA
34,7/16/2015,117,AH out of town; undergrads; fluff in frass,3
35,7/17/2015,8892356,AH out of town; undergrads; some exploded frass,2
36,7/20/2015,117,"storm last night, frass traps wet, 7E and 12E folded over",2
37,7/21/2015,8892356,last day,3
38,7/23/2015,117,major storm after morning surveys that might impact afternoon surveys,3
39,5/4/2016,8892356,"training, surveys at 1C, 1D",2
40,5/10/2016,8892356,"Tara and Sara, visual surveys only starting after 1000",3
41,5/11/2016,117,"visual surveys only, several survey branches moved to new locations",3
42,5/12/2016,8892356,visual surveys and beat sheets,3
43,5/16/2016,117,"additional surveys on exclosures, put on exclosure netting",3
44,5/18/2016,8892356,"rained yesterday and last night, leaves wet; no beat sheet surveys today",2
45,5/19/2016,117,"no surveys due to rain/cold, but put exclosure netting up",1
46,5/20/2016,8892356,rained last night; leaves still slightly wet,2
47,5/23/2016,117,"cool, rained in the night",2
48,5/24/2016,8892356,no notes,NA
49,5/26/2016,117,no notes,NA
50,5/27/2016,8892356,no notes,NA
51,5/31/2016,8892356,rained last night; frass traps deployed for first time in 2016 (and only at NCBG this year),3
52,6/2/2016,117,NA,3
53,6/3/2016,8892356,no notes,3
54,6/6/2016,117,Laura Diez first day,3
55,6/7/2016,8892356,"rained in early morning, frass wet; a lot of fluff in frass",2
56,6/9/2016,117,"beautiful day, no issues",3
57,6/10/2016,8892356,no more leaf photos this season,3
58,6/13/2016,117,no notes,NA
59,6/14/2016,8892356,no notes,3
60,6/16/2016,117,no notes,NA
61,6/17/2016,8892356,rained a bit last night; leaves slightly wet; at least 2 traps dried under lamps for 45 minutes,2
62,6/20/2016,117,no notes,NA
63,6/21/2016,8892356,no notes,3
64,6/23/2016,117,removed exclosure netting and did exclosure surveys,3
65,6/24/2016,8892356,"exclosures removed and surveyed; lots of rain last night, very wet frass",1
66,6/27/2016,117,NA,NA
67,6/27/2016,8892356,"frass traps collected in afternoon a day early because of big impending storm; no surveys on 6/28, no new traps deployed",3
68,6/28/2016,8892356,no surveys due to rain,1
69,6/30/2016,117,no surveys due to rain,1
70,7/1/2016,8892356,"no frass traps collected, new frass traps deployed",3
71,7/5/2016,117,"humid, surveys condensed this week due to long weekend",3
72,7/6/2016,8892356,"frass traps wet due to rain, many unusable",1
73,7/7/2016,117,"hot, sunny day",3
74,7/8/2016,8892356,"hot, sunny day",3
75,7/11/2016,117,NA,NA
76,7/12/2016,8892356,"no surveys done, frass traps collected, slightly damp; no new frass traps deployed",2
77,7/14/2016,117,"hot, sunny day",3
78,7/15/2016,8892356,"no frass to collect, new frass traps deployed; hot, sunny day",3
79,7/18/2016,117,"hot, sunny day; lots of rain over weekend, but leaves dry",3
80,7/19/2016,8892356,"rained a lot over weekend, some frass traps torn up, lots of fluff; hot, sunny day",1
81,7/21/2016,117,NA,NA
82,7/22/2016,8892356,NA,3
83,4/18/2017,8892356,"lab group surveys, but app not working for many and data lost",2
84,5/4/2017,8892356,AH conducted all surveys,3
85,5/15/2017,8892356,"frass traps deployed, 3 locations moved slightly",NA
86,5/17/2017,117,"warm; training Patrick Winner, Christina Lim; Tracie Hayes & Tara McKinnon helping",3
87,5/18/2017,8892356,NA,3
88,5/22/2017,8892356,"big rainstorm last night until 0730 this am, frass very wet; visual surveys only today; no new frass traps deployed",1
89,5/24/2017,117,"rained last night, wet leaves",3
90,5/25/2017,8892356,"rain last night, wet leaves",2
91,5/29/2017,8892356,filter paper out of 3 traps,3
92,5/30/2017,117,"rained last night, wet leaves",3
93,6/1/2017,8892356,"frass traps slightly damp, put under lamps for 1 hr",2
94,6/5/2017,8892356,"rained last night and this morning so we just collected frass traps, no surveys, no new traps deployed",2
95,6/6/2017,117,NA,3
96,6/8/2017,8892356,"Ford Ballantyne helps put out frass traps, one trap missing in circle 8",3
97,6/12/2017,8892356,starting today no more leaf photos for the year,3
98,6/13/2017,117,"Sara Snell helped, but we lost all of her surveys due to app problems; she saw 1 caterpillar on visual in circle 8, 1 caterpillar on beat sheet in circle 12",2
99,6/15/2017,8892356,NA,3
100,6/19/2107,8892356,"rained last night, leaves and frass traps wet",2
101,6/20/2017,117,"big rain last night, but lots of leps",3
102,6/22/2017,8892356,"big rainstorm 2 nights ago, frass traps still damp, many very disturbed/torn",1
103,6/26/2017,8892356,"some rain 3 days ago, last 2 days pretty dry",2
104,6/27/2017,117,beautiful day; Robbie Burger + Patrick W; HOWR nest with 6 eggs,3
105,6/29/2017,8892356,no rain in past several days; great frass! Sara Snell helping,3
106,7/5/2017,117,"rain night before, wet leaves",3
107,7/6/2017,8892356,"rain on 6/30; major rain on 7/5, frass traps wet and needed drying",1
108,7/10/2017,8892356,frass traps dry but some rain over weekend,2
109,7/11/2017,117,warm,3
110,7/13/2017,8892356,"warm, no rain since frass traps were deployed",3
111,7/17/2017,8892356,"rain last night, frass dried for 5 hours, mostly unusable dust",1
112,7/18/2017,117,few bugs; but lots of fall webworm tents,3
113,7/20/2017,8892356,"rain on Tues 7/18 in the evening, many frass traps unusable and those that are should use a later start date",1
114,7/23/2017,8892356,"no surveys, just final frass collection; very warm today and yesterday but no rain since 7/20",3
115,5/9/2018,8892356,"Sara Taylor, Grace Di Cecco and I surveyed NCBG, nice day, no frass traps deployed yet",3
116,5/14/2018,117,"warm, first day with full crew, training, finished up around 1100",3
117,5/15/2018,8892356,"warm, frass traps deployed, but one trap missing in circle 1",3
118,5/16/2018,1,"surveyed circles 3-7, 10, 9, 8, 11, 12, 13, 14; half hour rain storm during circle 10",2
119,5/16/2018,8892356,"collected frass set out yesterday; half hour rain storm, frass traps quite wet and unusable",1
120,5/17/2018,117,"rained last night, light rain at points in the morning; set out frass funnels without paper",2
121,5/18/2018,8892356,"Grace, Andrew, Kinsey and Allison; heavy rain last night, wet leaves",2
122,5/21/2018,117,"deployed frass traps, clear dry day",3
